content,Sentiment
digital talent ngk jelas kenapa sih penerimaan sertifikat pelatihan nya lama sekali yang offline hanya butuh menunggu sebulan untuk menerima sertifikat nya sedangkan yang online butuh bulan untuk mendapatkan sertifikat nya di tambah benefit biaya komunikasi tidak diberikan sama sekali kami para peserta pelatihan kualahan menunggu nya korupsi sekali kalian wahai kominfo,negatif
trimksh untuk pelatihan nya sangat bermanfaat good job digitalent,positif
terima kasih kominfo melalui bpptik yang sudah menyelenggarakan pelatihan dan sertifikasi kompetensi pelatihan yang ada semuanya menarik dan sejauh ini selama saya mengikuti pelatihan menurut saya pelatih dan assesor bagus dan memotivasi kedepannya saya harap lebih banyak lagi jenis pelatihan di wilayah sumatera terkhusus kota bengkulu terima kasih,positif
belum coba karena yang saya siriti biasanya aplijasi penerintah rerata ui gak suppirt dark mofe tema gelap,netral
terima kasih kominfo atas pelayanan dan pelatihannya untuk kami yang ingin selalu belajar dan mengembangkan diri terutama di bidang tik,positif
lagi pelatihan fga pake absen scan qris tapi lambat skali error terus padahal bagus jaringan akhirnya tidak absen krna terlambat masuk mngkin krna banyak yg akses jadi lambat tolong di perbaiki,negatif
hallo min tong di perbaiki dong itu yg bagian pendaftaran terutama pada bagian pengisian asal perguruan tinggi itu formnya kurang responsif ada delaynya pas kita ketik terimakasih semoga lebih baik lagi,netral
sangat menarik dan menambah wawasan,positif
semoga aplikasinya dapat mengatasi bug dan berjalan dengan lancar,negatif
tolong buat menu histoririwayat pelatihan yg pernah di ikuti dan tombol download esertifikat nya,positif
gak bisa login masalah connection padahal jaringan bagus,negatif
susah untuk pengisian form sudah pilih jenjang smksma sederajat tapi kok masih disuruh memasukkan fakultas dan asal perguruan tinggi mau diisi apa apalagi tidak bisa diklik selanjutnya dan harus isi fakultas dan asal perguruan ini gimana sihh ribet juga harus buat file pdf ijazah dan transkrip nilai padahal pakai jpg harusnya cukup dan ada keterangan pdfjpg tapi tidak bisa pakai jpg haduhh,negatif
aplikasi nya bikin hp saya error volume naik turun ghoib padahal volume hp nya tidak di pencet trus gabisa matikan daya karena aplikasi ini akhirnya masuk ke mode discovery dan langsung hp saya aktifin mode safe mode intinya aplikasi ini bikin hp saya error dan gabisa berfungsi dengan normal pas saya hapus aplikasi ini tibatiba langsung lancar jaya hp saya dan gaada error volume naik turun secara ghoib intinya aplikasi ini belum optimal dan masih perlu perbaikan total,negatif
pengalaman di bilang teknik elektro pernah belajar bahasa fortran selama ini selalu berhubungan dengan dunia elektro dan informatika karena dunia elektro dan informatika mengalami perkembangan sangat pesat dalam bidang teknologi terutama dalam bidang at maka saya berkeinginan menambah pengetahuan dalam bidang at terutama perkembangan ai sebelum saya ucapkan terimakasih atas kesempatan bila dapat ikut dalam perkembangan ai,positif
uiux nya sangat amat smooth beda sekali dengan apk institusi yang lain sangat informatif juga,positif
hai kak saya berharap digital kominfo juga memberikan pelatihan untuk vocational school graduate academy dengan jenis pelatihan yang sama seperti pada fresh graduate ya karna saya lihat banyak pelatihan ternama pada bagian freshgraduate seperti google aws dll namun pada vocational hanya sedikit dan terlalu banyak requirmentsnya padahal banyak dari lulusan tersebut yg membutuhkan course dari beberapa pelatihan ternama untuk dapat mencari kerja akan lebih baik jika diberikan akses ke kami juga,positif
bintang satu dulu ada bug di galaxy j plus android versi saat registrasi tahap kedua selalu error network akhirnya saya tidak bisa ikut bootcamp,negatif
sangat membantu untuk mendapatkan informasi beasiswa s,positif
mohon perbaiki bug untuk android lawas seperti android versi saat masuk aplikasi hanya blank whitescreen dan tidak munculmuncul konten,negatif
aplikasi bagus aja sistemnya yg bobrok mau daftar pelatihan error tertulis pelatihan belum selesai tidak jelas kita udh selesai pelatihan sebelumnya tp butuh seminggu lebih buat update setelah itu muncul error kita tdk dpt mendaftar pelatihan yg sama lah perusahaannya sama tp temanya berbeda tanya ke admin di wa tidak bisa karena kebijakan perusahaan terkait kocak pdhl perwakilan perusahaannya yg bilang langsung kalo bisa di zoomdiscord org dts tdk prnh muncul wkwkwk,negatif
inspiratif sangat bermanfaat sekali,positif
kegiatan ini sangat membatu kami para guru dalam meningkatkan kemapuan pembelajaran di era digital,positif
pada tanggal september lalu di perpanjang sampai oktober di bukalah sebuah pendaftaran kegiatan pelatihan dari bpsdm medan disitus resmi ini di flayer kegiatan disediakan pula gform pendaftaran namun tidak ada satupun media untuk mengumumkan kelulusan dan teman saya di terima karna mendaftar menggunakan gform disitus resmi malah tidak ada saya kecewa sekali untuk apa aplikasi dibuat jika penyelenggara menerima pendaftaran dengan gform saja di apk ini juga gk ada info yg jelas,negatif
saat login selalu gagal padahal email dan password sudah benar bahkan sampai install aplikasi kalo login di aplikasi bisa tapi di web tidak bisa loadingnya juga lama fitur ubah data diri juga cuma bisa ubah alamat lalu buat apa fitur ubah data diri kalo gak bisa ganti yang lain tolong segera diperbaiki,negatif
saya diminta update data setelah login tapi pada saat submit data dibilang nik sudah terdaftar jadi sampai dengan sekarang saya gak bisa login dan gak tau harus komplain ke mana terima kasih,negatif
aplikasi website hanya bisa diakses melalui beberapa isp saja saya coba ping ke main domain kominfogoid aman tetapi ke sub domain digitalent rto semoga bisa cepat diperbaiki terimakasih,positif
susah banget daftarnya padahal udah bener masukin kata sandi buat login tapi selalu di bilang salah udah dicoba juga ganti password abis tu di salin sekalian biar ngak salah tapi tetep aja ngak bisa,negatif
sangat buruk sekali saat sya memulai tes substansi malah error lalu muncul status tes substansi selesai mau nya apasih app mobile gk guna situs web pun gk guna errorrr teruss developer emang gak guna jg,negatif
aplikasinya masih banyak bug dan tidak sesuai dengan perkataan yaitu tidak dilengkapi notifikasi ketika dibukakan absen,netral
fiturnya sedikit fungsinya kurang tampilan kurang lengkap masih mending buka pakai web browser,positif
berharap dengan adanya maintenance sistem akan memperbaiki sistem dengan lebih baik lagi seperti mengurangi bug mengoptimalkan sistem ketika berjalandigunakan dan meningkatkan kualitas keamanan untuk menjaga keprivasian data pengguna user,positif
update tentang lulus tidaknya terlalu lama jadi di email tidak lulus tapi di aplikasi masih proses seharusnya lebih on time pengumuman dengan updatenya berharap diperbaiki ,negatif
masih perlu banyak perbaikan jika ingin diterapkan ada baiknya di cek apakah kapasitas server sudah mumpuni agar tidak terjadi error load server saat sosialisasi,negatif
tolong diperbaki untuk ver android ada kendala tidak bisa masuk ke menu tampilan stuck blackscreenwhitescreen,negatif
alhamdulillah terbantu dengan aplikasi ini untuk pelatihan dan dapat kesempatan bekerja di mitra yang menyelenggarakan pelatihan lanjutkan dan tingkatkan good job,positif
aplikasi mudah digunakan dan informasi selalu update,positif
sesimpel memperhatikan kestabilan aplikasi sudah sangat mantap apalagi dikasih tampilan yang menarik makasih,positif
mantap langsung bisa di gunakan aplikasinya banyak sekali info pelatihan dan workshop yg berguna untuk menambah ilmu dan wawasan,positif
aplikasi yg berikan wawasan dalam pelatihan ilmu digital dalam tingkatkan sdm dengan baik dari kominfo,positif
semoga terus berkembang dan menjadi kepercayaan jujur dan adil secara terbuka dan transparan tanpa ada unsur korupsi sebagai wadah pembuka lapangan kerja dan education demi anak anak bangsa yang ingin berkarya,positif
